"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IQGAP2",-3690.7,2604.77222222222,-37.3710224862757,2.4419047651962e-07,0.00221798209822771,-4.59088912611339
"LOC101929500",-22285.2277777778,15458.3805555556,-21.4195265543289,3.93734644868025e-06,0.0109895879975478,-4.59092607726103
"PFN2",-4004.03333333334,3063.73333333333,-21.3034068705473,4.04531490226098e-06,0.0109895879975478,-4.59092667434249
"HERC2P9",1652.61666666667,2437.675,20.5493255988927,4.83962919632185e-06,0.0109895879975478,-4.59093079746534
"PLA2R1",-2980.46944444445,1781.53194444444,-19.6253561985575,6.0830565264732e-06,0.0110504804859912,-4.5909365005478
"PLCE1",-4591.84444444445,2590.73888888889,-18.0548265716849,9.20256886054344e-06,0.0116267961961937,-4.59094823763426
"PAM",-8284.47222222223,6577.625,-18.0230503781059,9.28329263327385e-06,0.0116267961961937,-4.59094850659227
"DST",-1967.13888888889,2267.58055555556,-17.3870995340008,1.10920841877645e-05,0.0116267961961937,-4.59095419655252
"WDR62",2828.81944444445,2866.7625,16.9059759138321,1.27453326698132e-05,0.0116267961961937,-4.59095892473669
"FAT1",-9086.11666666667,6573.53055555556,-16.8749963001048,1.28615489203528e-05,0.0116267961961937,-4.5909592427965
"GPNMB",-1038.47777777778,986.941666666667,-16.568913887546,1.4080673583412e-05,0.0116267961961937,-4.59096247947849
"F3",-2108.01111111111,1338.71111111111,-15.8783072549724,1.73785364016366e-05,0.0124201018322205,-4.59097046415479
"THY1",1455.825,1476.97361111111,15.8057347707837,1.77762109235788e-05,0.0124201018322205,-4.59097136292472
"CLIP3",-1726.825,1397.83194444444,-15.5128593513945,1.94958038502228e-05,0.012648599026541,-4.59097511560222
"ATP2A2",-1781.81111111111,1922.17777777778,-15.0429933359205,2.26897254680643e-05,0.0137393850950952,-4.59098158695963
"ARHGEF15",1953.11111111111,1933.32222222222,14.8052956110298,2.454255792081e-05,0.0139325033496698,-4.59098509086207
"SUSD6",-1019.93333333333,2295.42222222222,-14.1964522269942,3.01785721398777e-05,0.0154433694447255,-4.59099485622533
"GMFB",-1383.00555555556,1037.73611111111,-13.7737464636976,3.50128849863551e-05,0.0154433694447255,-4.59100238478239
"CECR7",1561.97777777778,2704.23888888889,13.7039978144666,3.58969266770931e-05,0.0154433694447255,-4.59100369211871
"F2R",-1605.83333333333,1043.96666666667,-13.4564189699368,3.92578741579705e-05,0.0154433694447255,-4.59100849200399
"CDC42EP3",-4265.61666666667,2980.225,-13.256698614086,4.22457425093687e-05,0.0154433694447255,-4.59101255433441
"THSD7A",-2700.55833333333,1865.71805555556,-13.1660871292605,4.36904868736928e-05,0.0154433694447255,-4.59101445634484
"TCN2",1559.51388888889,1992.2375,13.1450189982504,4.40348135539035e-05,0.0154433694447255,-4.59101490401528
"MAP1B",-1218.34444444444,783,-13.0675855900574,4.53285040572297e-05,0.0154433694447255,-4.59101656731071
"FXYD6-FXYD2",9197.9,8516.36111111111,12.9007351689694,4.82736985892371e-05,0.0154433694447255,-4.59102024967156
"FAM98A",-1296.44444444444,867.294444444444,-12.8954150982755,4.83713054640249e-05,0.0154433694447255,-4.59102036934941
"FGF1",-23722.1333333333,14015.6333333333,-12.7848065345019,5.0455032197928e-05,0.0154433694447255,-4.59102289014504
"DCAF8",-2964.52222222222,2781.5,-12.659616463722,5.2944171464172e-05,0.0154433694447255,-4.59102582011534
"PCMT1",-1128.03055555556,1650.48472222222,-12.5842965089733,5.45124165864592e-05,0.0154433694447255,-4.5910276234727
"DAG1",-7045.1,6248.15,-12.5787421164906,5.46302455290111e-05,0.0154433694447255,-4.59102775769077
"CREB3L2",-1794.73611111111,1924.32638888889,-12.4855123221314,5.6654111679816e-05,0.0154433694447255,-4.59103003621568
"PITPNM1",2475.54444444444,3858.82777777778,12.4631257847414,5.71533351475265e-05,0.0154433694447255,-4.59103059064893
"KLHL9",-2996.77222222222,3140.59722222222,-12.4475208541713,5.750443485918e-05,0.0154433694447255,-4.5910309788229
"MIR6785",3458.13333333333,4970.20555555556,12.4340982430308,5.78084951140227e-05,0.0154433694447255,-4.59103131383225
"TUBB2A",-5544.04444444445,5798.53888888889,-12.141657918431,6.49352285720229e-05,0.0168516194605624,-4.59103887866552
"PTPRO",-5235.73888888889,2987.40833333333,-11.9770313343297,6.94080543305652e-05,0.0172537447382413,-4.59104337208023
"PTDSS1",-1619.75555555556,3543.53333333333,-11.8889218118815,7.19527650452594e-05,0.0172537447382413,-4.5910458505322
"TSPYL4",-1081.80277777778,999.465277777778,-11.8304841232799,7.37019972418268e-05,0.0172537447382413,-4.5910475235579
"HSPA12A",-1633.13888888889,900.836111111111,-11.6741404050461,7.86372688175313e-05,0.0172537447382413,-4.59105211787584
"KBTBD11",-1828.51388888889,1381.11805555556,-11.6216095413267,8.03833253460816e-05,0.0172537447382413,-4.5910537013287
"TNNT2",-2963.65,1884.99166666667,-11.5600342506268,8.24892358353728e-05,0.0172537447382413,-4.59105558363261
"CLEC16A",-1851.17222222222,1911.83055555556,-11.54590835835,8.29815900157354e-05,0.0172537447382413,-4.59105601949557
"PTPN21",-565.447222222223,394.268055555556,-11.4754468607598,8.549049405208e-05,0.0172537447382413,-4.59105821654196
"PREPL",-1734.56388888889,1254.04583333333,-11.4517140633126,8.63558400439183e-05,0.0172537447382413,-4.59105896524613
"DPYSL3",-2377.33055555556,1392.18472222222,-11.4441624107297,8.66333767402485e-05,0.0172537447382413,-4.59105920440917
"ST3GAL6",-2868.71944444445,1876.69027777778,-11.3805381681399,8.90144127606626e-05,0.0172537447382413,-4.59106123740622
"SERINC5",-1457.96388888889,845.684722222222,-11.3508128907978,9.01535427159588e-05,0.0172537447382413,-4.59106219837482
"LPL",-2592.69444444445,1974.96944444444,-11.3244319361846,9.11790980332028e-05,0.0172537447382413,-4.59106305725405
"ITGA3",-7938.92222222223,8835.53333333333,-11.0743973635765,0.000101623404772573,0.0187541701033179,-4.59107148875891
"ATP6AP2",-1210.73888888889,961.391666666667,-11.0384918480193,0.000103237752412847,0.0187541701033179,-4.59107274432844
"FNTA",-2786.11111111111,4683.95,-10.9116401527862,0.000109191298390206,0.0194467561427106,-4.59107727449266
"LOC101930075",-1628.77777777778,1546.61111111111,-10.8409018554574,0.00011268889447555,0.0196837159331043,-4.59107986629099
"ENO1",8034.60555555556,10188.2583333333,10.792886758467,0.000115139148169263,0.0197322430721022,-4.59108165303624
"SPTSSA",-829.569444444445,1473.0375,-10.6894246925219,0.000120638161306937,0.0202917855398316,-4.59108558064591
"SRGAP2C",-4218.00833333333,3601.09305555556,-10.621250502209,0.000124432967854505,0.0204999407067036,-4.59108822806226
"RPS9",5212.99444444444,16762.9805555556,10.5691352009255,0.000127430060872248,0.0204999407067036,-4.5910902845215
"TMED5",-942.236111111112,919.9375,-10.5483972627493,0.000128646550730167,0.0204999407067036,-4.5910911108378
"TSSK2",-647.361111111112,515.011111111111,-10.2633519348723,0.000146854597753856,0.0229979364034186,-4.59110295026887
"SUB1",-1314.90555555556,1533.06944444444,-9.99795165711514,0.000166630429284155,0.0253384358428475,-4.59111483826993
"PAFAH1B1",-2664.66111111111,2993.28055555556,-9.9469641657106,0.00017078438797885,0.0253384358428475,-4.59111722474293
"ARHGEF18",-1733.13333333333,1950.07777777778,-9.88704963057068,0.000175824256370588,0.0253384358428475,-4.59112007328849
"CHI3L1",-6937.87777777778,4692.43888888889,-9.88695186248954,0.000175832623950035,0.0253384358428475,-4.59112007797633
"FAM153A",-1851.49722222222,1061.44861111111,-9.87693961970616,0.0001766920474776,0.0253384358428475,-4.59112055873811
"SSB",-1026.72222222222,1885.81666666667,-9.85562995170303,0.000178537916320846,0.0253384358428475,-4.59112158653491
"MUC3B",1482.21111111111,2190.74444444444,9.82009983396943,0.000181666886425178,0.0253858512215368,-4.59112331412369
"TOB1",-1782.975,1891.57361111111,-9.78020406945493,0.000185258452354785,0.0254954927687653,-4.59112527497474
"MRPL23",1637.76666666667,3238.31111111111,9.72986035438791,0.000189911936468252,0.0255349424690122,-4.59112778152672
"TAX1BP1",-2050.30277777778,2516.48194444444,-9.71652621678865,0.000191167685554643,0.0255349424690122,-4.59112845151202
"ESRRA",898.377777777778,1795.48888888889,9.68394546757679,0.000194277801703265,0.0255742793169675,-4.59113009942852
"LOC103344931",-2129.56944444445,1528.47638888889,-9.58962928282592,0.000203626498873794,0.0263315590312908,-4.59113495839795
"TM4SF5",868.594444444445,1214.36388888889,9.56816210185964,0.000205828546870158,0.0263315590312908,-4.59113608307028
"ZNHIT1",1764.94444444445,3230.58888888889,9.48820068518421,0.000214284043457357,0.0270325273155996,-4.5911403349241
"CTNNA1",-3111.35277777778,4769.37916666667,-9.44621246259523,0.000218889365849196,0.0272352343836746,-4.59114260788347
"PLOD2",-1143.21944444445,957.604166666667,-9.41618582608938,0.00022225502607663,0.0272803027277572,-4.59114425066964
"TCF21",-5219.71111111111,3311.36666666667,-9.28098487460078,0.000238193753841321,0.0285421237226926,-4.5911518317136
"RABGAP1L",-2428.68333333333,1882.15277777778,-9.23997207906729,0.000243295013350954,0.0285421237226926,-4.59115419256386
"ATP11B",-722.200000000001,1288.53333333333,-9.23599105948666,0.000243797065830482,0.0285421237226926,-4.59115442327804
"TSPO2",1222.13888888889,2374.89722222222,9.22566808216293,0.000245104662597162,0.0285421237226926,-4.59115502281964
"THBS1",-1023.00555555556,620.163888888889,-9.0748019920752,0.000265200026367595,0.0304912891075552,-4.59116400175233
"INPP5D",840.494444444445,1136.78611111111,9.02087276279843,0.000272854656264733,0.030837129058383,-4.59116731273908
"TGFBR3",-8225.92222222222,6523.95,-9.00547830841454,0.000275087717275666,0.030837129058383,-4.59116826796321
"SMYD5",807.763888888889,1124.15416666667,8.95652965020457,0.000282333789079245,0.030837129058383,-4.59117133544624
"PLA2G15",-474.805555555556,371.219444444444,-8.93789521691771,0.000285151796008081,0.030837129058383,-4.59117251543752
"HTRA1",-25400.6277777778,18709.0361111111,-8.93768890790924,0.000285183181867684,0.030837129058383,-4.59117252853972
"KANK1",-1635.91666666667,1466.11944444444,-8.83096291774971,0.000301984552617167,0.0318216466938709,-4.59117942012036
"SULF1",-2990.36944444445,1813.52638888889,-8.8203179157298,0.000303724025862869,0.0318216466938709,-4.59118012013921
"HYAL1",711.816666666666,903.422222222222,8.81232762468384,0.000305037525213902,0.0318216466938709,-4.59118064711582
"MARK3",-474.336111111111,1093.99027777778,-8.77563747497148,0.000311156253135291,0.0318216466938709,-4.59118308390763
"RDX",-1382.04722222222,1593.76805555556,-8.77179654017439,0.000311805191649731,0.0318216466938709,-4.59118334062989
"CORO2B",-2655.80833333333,2044.88472222222,-8.70441490065171,0.000323455380080437,0.0325677333905961,-4.59118789515301
